source,cited,citation_analysis
4686331,16987156,neither
4686331,18246980,neither
4686331,16477963,positive
4686331,16477963,neither
4686331,7388696,positive
4686331,7388696,neither
4686331,3704454,positive
4686331,3704454,neither
4686331,17140279,positive
4686331,17140279,neither
4686331,19520267,positive
4686331,19520267,neither
4686331,23065655,positive
4686331,23065655,neither
4686331,25403789,positive
4686331,25403789,neither
4686331,7862832,positive
4686331,8095546,positive
4686331,8095546,neither
4686331,7862832,neither
4686331,8165384,positive
4686331,8165384,neither
4686331,8506453,positive
4686331,16099718,positive
4686331,16099718,neither
4686331,11833860,positive
4686331,11833860,neither
4686331,12627729,positive
4686331,15033130,positive
4686331,15033130,neither
4686331,22893778,positive
4686331,22055895,positive
4686331,22055895,neither
4686331,22445591,positive
4686331,22445591,neither
4686331,25843781,positive
4686331,25843781,neither
4686331,18254030,positive
4686331,8164831,positive
4686331,16648807,positive
4686331,16648807,neither
4686331,21317035,positive
4686331,21317035,neither
4686331,11864561,neither
4686331,16186554,positive
4686331,16186554,neither
4686331,18753005,positive
4686331,18753005,neither
4686331,15157423,positive
4686331,15157423,neither
4686331,24006291,positive
4686331,24006291,neither
4686331,18295497,positive
4686331,18295497,neither
4686331,24107292,positive
4686331,24107292,neither
4686331,22356925,positive
4686331,22036605,positive
4686331,24406723,positive
4686331,24406723,neither
4686331,11382896,positive
4686331,11382896,neither
4686331,24806675,positive
4686331,24806675,neither
4686331,17762946,positive
4686331,22722630,positive
4686331,22722630,neither
4686331,14633248,positive
4686331,21210337,positive
4686331,21210337,neither
8818969,24117721,positive
8818969,32966960,positive
8818969,32966960,neither
8818969,30790101,positive
8818969,30790101,neither
8818969,18307668,positive
